Samples	S1 (SBS1 - 0.99)	S2 (SBS2 - 0.99)	S3 (SBS3 - 0.97)	S4 (SBS4 - 0.98)	S5 (SBS5 - 0.98)	S6 (SBS7a - 1.00)	S7 (SBS7b - 0.96)	S8 (SBS8 - 0.92)	S9 (SBS9 - 0.94)	S10 (SBS10a - 1.00)	S11 (SBS10d - 0.98)	S12 (SBS11 - 0.99)	S13 (SBS13 - 0.99)	S14 (SBS14 - 0.98)	S15 (SBS15 - 0.97)	S16 (SBS17 - 0.99)	S17 (SBS18 - 0.97)	S18 (SBS19 - 0.95)	S19 (SBS20 - 0.98)	S20 (SBS22 - 0.99)	S21 (SBS23 - 0.94)	S22 (SBS26 - 0.94)	S23 (SBS28 - 0.96)	S24 (SBS31 - 0.98)	S25 (SBS32 - 0.94)	S26 (SBS44 - 0.97)	S27 (SBS88 - 0.92)	S28 (SBS92 - 0.95)	S29 (SBS97 - 0.95)
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	0	0	0	0	0	220308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	919	0	0	0	707	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	0	7154	0	67181	0	0	0	0	0	0	0	0	5143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36309	0
0b29c893-03bf-4131-b192-c14a2788d411	9385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10080	0	0	0	0	0	0	0	0	0	0	0	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	785	0	0	0	966	0	0	0	1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	325	0	0	0	762	0	0	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	2864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	974	0	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	0	0	0	24050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18376	0
0be08326-c623-11e3-bf01-24c6515278c0	0	0	0	0	4727	0	0	5551	0	0	0	0	0	0	0	0	0	0	0	0	0	3483	0	0	0	0	0	0	0
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	2901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	0	0	0	0	0	0	0	0	0	0	1640	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	2517	336	2686	0	0	0	0	0	0	0	0	0	0	0	0	0	1142	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1043-8177-e3e4-e050-11ac0c4860c5	2416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1567	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	2925	0	7791	1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	2491	776	14418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1043-8187-e3e4-e050-11ac0c4860c5	3935	0	0	0	0	0	1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3305	0
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	2490	226	1587	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	3007	0	0	875	0	0	0	0	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	3177	403	3476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	1625	314	0	0	2482	0	0	0	0	0	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	18713	0	0	0	0	0	0	0	0	0	0	19009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	3096	2190	0	0	0	0	0	0	0	0	0	0	2431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7782	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1856	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	1720	0	2236	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cd60b96-eb2d-4687-9709-d1455ec45de7	4874	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1551	0	0	0	0	0	0	0	0	0	0	0	0
0cdbabf2-c623-11e3-bf01-24c6515278c0	0	0	0	0	3449	0	0	2460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	477	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	4253	559	4686	0	0	0	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	0	0	0	0
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	0	5715	0	0	0	0	5374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	0	0	0	1719	6214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d569bd5-418d-4d72-87ca-8e14668c2119	3095	0	0	0	3348	0	0	0	6618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	877	0	0	0	0	0	0	1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	0	0	0	0	0	168604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0dd39eca-c623-11e3-bf01-24c6515278c0	0	0	0	0	4222	0	0	2795	0	0	0	0	0	0	0	0	0	0	0	0	0	1714	0	0	0	0	0	0	0
0e1e628b-823a-4861-aa95-bed2fada7349	1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e54cea2-d568-4a33-b9db-b698844e6ad9	1406	253	1454	0	0	0	0	0	0	312	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	0	0	0	16932	0	0	2896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17294	0
0e6ca8dc-0f31-4675-95b1-5920576daeff	2025	477	2559	0	0	0	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e7ac212-0469-4f17-9432-205ab1831257	539	0	0	0	1729	0	0	0	0	0	0	0	0	0	0	0	848	0	0	0	369	0	0	0	0	0	0	0	0
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55965	0	0	0	0	0	0	11418	0	0	0	0	0	0
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28531	0	0	0	0	0	0	0	0	0	0	0	12884	0
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	2228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ed63d84-d3fe-4289-9255-35f4a03b703b	0	200	2232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	1167	0
0eeafcd6-c623-11e3-bf01-24c6515278c0	0	0	0	0	8696	0	0	7074	0	0	0	0	0	0	0	0	0	0	0	0	0	3324	0	0	0	0	0	0	0
0ef92ff8-829f-425a-91d8-c594b6e22a2b	4265	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	6635	4634	0	0	0	0	0	0	0	0	0	0	0	0
0f53e757-1823-409f-a0ea-249270728e15	0	0	1563	0	2442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
