,"S1 (SBS1 - 0.99)","S2 (SBS2 - 0.99)","S3 (SBS3 - 0.97)","S4 (SBS4 - 0.98)","S5 (SBS5 - 0.98)","S6 (SBS7a - 1.00)","S7 (SBS7b - 0.96)","S8 (SBS8 - 0.92)","S9 (SBS9 - 0.94)","S10 (SBS10a - 1.00)","S11 (SBS10d - 0.98)","S12 (SBS11 - 0.99)","S13 (SBS13 - 0.99)","S14 (SBS14 - 0.98)","S15 (SBS15 - 0.97)","S16 (SBS17 - 0.99)","S17 (SBS18 - 0.97)","S18 (SBS19 - 0.95)","S19 (SBS20 - 0.98)","S20 (SBS22 - 0.99)","S21 (SBS23 - 0.94)","S22 (SBS26 - 0.94)","S23 (SBS28 - 0.96)","S24 (SBS31 - 0.98)","S25 (SBS32 - 0.94)","S26 (SBS44 - 0.97)","S27 (SBS88 - 0.92)","S28 (SBS92 - 0.95)","S29 (SBS97 - 0.95)"
"0609b182-0396-4755-b463-10f949c5b8bb",409.545775796914,0.794522466046915,82.5513332163322,0,245.414894342487,5.51251341214358,0,208.377457291371,0,47.7170665996095,0,0,0,0,0,0,257.292329284898,0,0,0,0,0,0,0,0,0,7.17618311945198,0,0
"0624eb1d-3aff-4037-a3c5-fc363a9edd02",444.887015170552,6.46989947737123,100.164090139428,0,54.508169350502,21.6766020554378,0,139.839987436484,0,0,13.8099244199593,0,0,0,2.33417589470514,0,41.2813337980628,0,0,0,0,0,0,0,11.3331462947093,55.9055523986881,91.2471364540957,0,0
"062e96d4-c623-11e3-bf01-24c6515278c0",223.297116186936,171.400914151912,0,1180.59834637896,1805.54314618261,283.233987485822,55.6797928332156,1088.19085919505,25.6495643938367,0,72.5115990378741,0,0,0,0,41.8171903362687,43.0726781433015,508.506507114688,0,105.571224015222,0,1139.6505349772,0,0,0,83.3765735865216,872.029161564104,2271.65423695342,111.656000245745
"063cfacf-9933-4a2d-8921-0aeb76e12779",434.884774749768,97.528992927691,1237.68282579289,219.455029435098,0,58.2761980287817,0,297.457342283571,54.2493248473141,0,13.5417313596504,172.764059211829,27.5646403863403,0,0.128515646869357,0,0.220632772755717,0,0,0,117.61521289766,0,123.989319660426,0,0,0,0,527.966563338683,0
"068f4f69-d2fe-4f25-912e-ca7d4623efb6",1772.04819257216,9.96935510860619,392.413618706823,48.1584103731475,498.841547054975,220.6120326911,0,533.301338393482,1381.48075524887,0,0,0,10.8504754909413,0,108.901519114285,349.687259763073,311.889031837904,38.134186603985,0,90.160897235148,60.4407870298711,0,0,0,196.888294774579,117.866765956548,466.259075476679,0,0
"06ecd127-6c24-422d-a7fb-bf5aee1b8b7b",683.970634011952,0,0,697.289650809421,1617.43746503522,81.8239583435712,0,1153.13806787589,349.049879809291,0,0,0,0,0,0,0,0,89.3759056746979,0,0,0,633.541472434206,0,0,0,0,0,1335.5817932874,0
"074fd614-5d9c-4bcc-96ad-351aa14387e3",227.938513563046,28.6771555447433,72.081895126093,73.1141649215501,878.841774852846,108.107667874301,0,0,0,0,0,11.4942677162294,0,45.7699694281311,8.52730605580218,0,193.566098983811,0,0,0,114.544751212657,0,0,0,0,94.9818960046969,161.020135432844,314.000884093826,0
"075fc96d-6742-4ef3-9369-482592ad3a2f",1086.05581764155,443.457279665761,1314.79877333654,128.197171506963,607.494427184213,246.724736881561,0,0,0,0,0,0,399.428368513333,19.4509810486487,97.6985202679647,0,60.0236313084597,0,0,0,0,0,0,0,0,0,0,91.3752177587474,0
"07835447-5d7e-4828-80fd-89b063989c9a",2541.80436852615,99.8692945920991,974.590001649409,0,744.709378346826,182.068016733017,0,447.886569159571,1668.3667910688,217.077094413961,126.636912250183,0,0,0,473.46397025955,517.102827167693,687.911413497984,175.171311343107,0,0,210.217676284416,0,0,0,182.994761427745,421.932992467039,23.386689746145,0,0
"079bcb09-a075-4313-9a3e-dd67734a8c5d",4050.82019432974,776.721424803639,0,208.108213390701,0,189.944292816211,0,557.915020546746,0,81.5085840328281,228.664247451423,0,216.905747652993,0,238.239595893928,10.3761829030703,314.831252328392,0,0,56.915003753452,0,0,0,0,168.282775509842,0,260.077028365771,424.726867317136,0
"07b5141f-ac79-439b-883b-b0183bbe7ff5",1102.05944807341,413.403409908749,4167.59428427655,270.770670430616,899.848999334686,48.3416393806229,0,912.031431248592,59.8349639247256,0,15.4280933474883,53.881137174637,521.886094180212,74.6335723062923,130.057147508782,47.1084327805087,0,104.461068696202,0,26.2761493043027,0,0,0,0,0,37.5709757058675,42.0506606755339,481.858362711796,43.9547446724979
"07e0e938-f61f-477a-92a2-5b7e74b78943",259.172240388966,128.790267985436,390.772602602572,0,841.84114072089,0.547122867209022,0,1477.31946962615,0,49.3074758980348,0,0,32.7318648665724,0,0,4143.34657124458,31.8335744245652,0,0,0,0,0,0,0,0,0,0,0,0
